,-0.1,-0.2,-0.3,-0.4,-0.5
-1.5,53114.098575104246,13279.244981371334,5902.420317565223,3320.531774618536,2125.486318600896
-1.0,13609.127677696486,3403.002442502575,1512.979546331886,851.4718821980838,545.2887168587899
-0.5,6099.122204256382,1525.5013809934,678.5352212916503,382.09784375858214,244.8905394843859
0.0,3445.395074741515,862.0700284464177,383.6776669090169,216.24171765474912,138.7443008320787
0.5,2210.885907584949,553.4432862328598,246.51128445174234,139.0872278676804,89.36758321255273
1.0,1538.179412363833,385.26733326150986,171.7677078619232,97.04591760651839,62.46376775393324
1.5,1131.6862713928567,283.6448409113383,126.60367914637918,71.64344990270325,46.2092762424713
